,barcode01,barcode02,barcode03,barcode04,barcode05,barcode06,barcode07,barcode08,barcode09,barcode10,barcode12
Pseudarthrobacter sp. SSS035,1,1,0,1,0,0,0,1,0,0,3
Glutamicibacter nicotianae,1,1,0,0,1,0,0,0,1,0,0
Miniimonas sp. S16,4,9,1,0,6,9,1,1,10,3,2
Microbacterium sp. Se63.02b,1,0,1,0,2,1,0,0,1,0,1
Janibacter limosus,1,1,0,1,0,0,0,1,0,0,0
Phycicoccus endophyticus,1,0,0,0,0,0,0,0,1,0,1
Streptomyces albidoflavus,2,0,0,1,0,1,0,0,1,0,4
Streptomyces sp. XC 2026,1,1,0,0,1,0,1,0,0,0,1
Streptomyces sp. HUAS CX7,1,1,0,0,0,0,0,0,0,0,0
Streptomyces mobaraensis,1,0,0,0,3,4,0,1,2,0,0
Streptomyces clavuligerus,1,0,0,1,0,0,0,0,0,0,0
Streptomyces viridosporus,0,0,0,0,0,0,0,0,0,0,0
Streptomyces lydicamycinicus,1,1,0,1,3,1,1,3,4,1,1
Streptomyces nodosus,1,1,0,0,3,0,0,1,3,0,1
Streptomyces olivaceus,1,0,0,0,0,0,0,0,0,0,0
Peterkaempfera bronchialis,2,1,0,0,0,0,0,0,0,0,0
Kitasatospora sp. MMS16-BH015,1,0,0,0,0,0,0,0,0,0,0
Nocardioides coralli,2,0,0,1,1,1,1,1,0,1,1
Nocardioides sp. WS12,1,0,0,0,0,0,0,0,0,0,0
Microlunatus sagamiharensis,1,1,0,1,0,0,0,0,1,0,1
Actinopolymorpha singaporensis,1,1,0,0,1,0,0,0,0,0,0
Bifidobacterium animalis,0,0,0,0,0,0,0,0,0,0,0
Bifidobacterium sp. ESL0732,1,0,0,0,0,0,0,0,0,0,0
Bifidobacterium longum,0,0,0,0,1,0,0,0,1,0,0
Micromonospora viridifaciens,1,0,0,0,0,0,0,0,0,0,0
Phytohabitans flavus,1,0,0,0,0,0,0,0,0,0,0
Pseudonocardia autotrophica,1,0,0,0,0,0,0,0,0,0,0
Lentzea sp. HUAS12,1,2,0,0,0,0,0,1,0,0,0
Thermobispora bispora,3,8,0,0,0,0,0,1,2,1,1
Thermobifida fusca,1,0,0,0,0,0,0,0,0,0,0
Actinotignum urinale,1,0,0,0,0,0,0,0,0,0,0
Stackebrandtia nassauensis,0,0,0,0,0,0,0,0,0,0,0
Candidatus Nanopelagicus hibericus,1,0,0,0,0,0,0,0,0,0,0
Blastococcus saxobsidens,0,0,0,0,0,0,0,0,0,0,0
Frankia casuarinae,1,0,0,0,1,0,0,1,1,0,0
Conexibacter sp. S30A1,3,5,0,2,1,3,0,1,5,0,3
Conexibacter sp. DBS9H8,2,1,0,2,1,0,2,1,2,2,2
Conexibacter woesei,0,0,0,0,0,0,0,0,0,0,0
Iamia sp. SCSIO 61187,2,2,0,0,0,2,0,1,1,0,3
Iamia majanohamensis,1,0,0,0,0,0,0,0,0,0,0
Actinomarinicola tropica,2,5,0,2,0,2,0,3,5,0,5
